RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
83,Calvin Ridley,# 18,WR,16,ATL,91,64,70.3,821,12.8,10,68.6,70.5,48.5,24.8,-,492,465,94.5,0,0.0,118,24.0,371,75.4,1,0.2,367,5.7,1.77,10.4,75,8,11.1,12,5,41.7,2,2,3,38,125.8
83,Eric Ebron,# 85,TE,18,IND,122,74,60.7,827,11.2,14,66.2,70.5,54.7,50.9,72.6,564,520,92.2,9,1.6,326,57.8,100,17.7,135,23.9,267,3.6,1.59,10.6,53,7,8.6,34,14,41.2,3,0,4,43,108.9
85,Anthony Firkser,# 86,TE,12,TEN,20,19,95.0,225,11.8,1,69.6,70.4,83.2,74.1,81.5,140,122,87.1,7,5.0,73,52.1,35,25.0,31,22.1,100,5.3,1.84,6.5,28,0,0.0,3,2,66.7,0,0,1,12,130.2
86,Jordy Nelson,# 82,WR,15,OAK,86,63,73.3,739,11.7,3,70.7,70.2,90.2,81.6,73.0,557,525,94.3,2,0.4,191,34.3,365,65.5,0,0.0,245,3.9,1.41,9.3,66,1,1.6,14,5,35.7,2,0,3,36,100.9
87,Christian Kirk,# 13,WR,12,ARZ,65,43,66.2,590,13.7,3,70.3,70.1,68.6,87.0,-,364,344,94.5,0,0.0,112,30.8,250,68.7,2,0.5,229,5.3,1.72,10.0,75,3,6.5,13,6,46.2,4,0,4,21,84.8
88,Dede Westbrook,# 12,WR,16,JAX,96,66,68.8,717,10.9,5,71.3,70.0,63.4,43.8,61.6,578,554,95.8,1,0.2,511,88.4,65,11.2,0,0.0,363,5.5,1.29,9.1,61,6,8.3,18,6,33.3,3,2,8,39,94.8
89,Cody Latimer,# 12,WR,6,NYG,16,11,68.8,190,17.3,1,70.2,69.8,79.4,75.3,-,149,142,95.3,0,0.0,19,12.8,130,87.2,0,0.0,26,2.4,1.34,19.9,39,0,0.0,8,7,87.5,0,0,0,6,129.7
89,Dante Pettis,# 18,WR,11,SF,40,27,67.5,467,17.3,5,68.5,69.8,65.2,80.3,-,286,261,91.3,0,0.0,110,38.5,172,60.1,1,0.3,214,7.9,1.79,12.1,75,1,3.6,3,1,33.3,2,0,6,19,125.7
91,Vance McDonald,# 89,TE,15,PIT,67,50,74.6,610,12.2,4,69.3,69.6,64.9,24.3,66.5,453,405,89.4,25,5.5,96,21.2,40,8.8,308,68.0,392,7.8,1.51,6.0,75,4,7.4,9,3,33.3,1,2,14,32,115.9
92,Darren Fells,# 88,TE,16,CLV,12,11,91.7,117,10.6,3,65.0,69.5,79.4,71.9,72.0,171,95,55.6,68,39.8,7,4.1,1,0.6,157,91.8,65,5.9,1.23,5.8,49,0,0.0,1,1,100.0,0,0,2,6,146.9
92,Taylor Gabriel,# 18,WR,17,CHI,99,71,71.7,725,10.2,2,68.8,69.5,82.3,54.1,65.3,556,520,93.5,1,0.2,128,23.0,419,75.4,5,0.9,235,3.3,1.39,10.9,54,2,2.7,16,8,50.0,2,1,6,34,90.7
94,Levine Toilolo,# 87,TE,16,DET,24,21,87.5,263,12.5,1,66.1,69.3,84.5,74.9,87.0,267,180,67.4,71,26.6,27,10.1,9,3.4,229,85.8,116,5.5,1.46,7.3,39,0,0.0,4,3,75.0,0,0,2,16,126.2
95,Malik Turner,# 17,WR,4,SEA,2,2,100.0,20,10.0,0,67.5,69.1,68.3,64.0,-,13,12,92.3,0,0.0,0,0.0,13,100.0,0,0.0,14,7.0,1.67,3.0,19,0,0.0,0,0,,0,0,0,1,108.3
